publikacija_id,autor_id
164686,2712
164691,178
164691,460
164691,542
164691,815
164691,1161
164691,1547
164691,1673
164691,1856
164691,1859
164691,1860
164691,1866
164691,1938
164691,2122
164691,2823
164691,3099
164691,3165
164691,3546
164691,4327
164691,5124
164691,6176
164691,11689
164691,12206
164691,12207
164694,206
164714,205
164725,5337
164750,556
164752,4767
164754,701
164765,76
164766,587
164769,12208
164772,2747
164780,10426
164780,10427
164783,1194
164784,116
164795,685
164801,7805
164802,1133
164805,12209
164806,1500
164810,2674
164820,669
164821,3656
164825,123
164829,12210
164850,12211
164861,12212
164868,4426
164872,12213
164880,12214
164904,12215
164912,894
164918,977
164921,1477
164921,1672
164926,4372
164950,12216
164956,3182
164960,1556
164963,431
164963,1744
164963,3174
164963,7062
164969,482
164970,11127
164976,4557
164984,12217
165000,1574
165003,128
165016,298
165018,12218
165020,1099
165027,12219
165028,7727
165031,346
165035,1061
165036,200
165038,48
165041,1114
165044,446
165044,447
165047,7617
165050,284
165051,107
165063,200
165065,741
165072,12220
165076,2708
165082,3078
165095,12221
165099,2661
165101,12222
165102,127
165102,1510
165102,5851
165102,6019
165102,11907
165102,12223
165102,12224
165103,242
165108,7506
165122,185
165124,4133
165128,263
165140,1720
165141,537
165158,336
165159,254
165162,12225
165168,994
165179,339
165195,3112
165197,107
165211,12226
165213,12227
165214,305
165220,1188
165223,157
165226,504
165229,1418
165237,10582
165238,398
165238,12228
165243,12229
165243,12230
165244,12231
165247,3391
165248,9421
165263,12232
165268,160
165275,446
165275,447
165290,117
165294,578
165295,5206
165296,1054
165301,788
165308,157
165313,26
165314,2943
165314,2944
165316,12233
165323,12234
165328,263
165330,9655
165334,12235
165336,2168
165340,12236
165341,7087
165350,1695
165351,10007
165357,12237
165359,12238
165362,150
165363,815
165365,11547
165376,98
165377,821
165379,7033
165384,1547
165386,5269
165391,12239
165392,336
165392,1802
165399,1478
165408,9
165411,3787
165424,712
165433,307
165436,2677
165439,305
165440,12240
165454,12241
165457,5414
165457,12242
165481,12243
165483,5146
165486,2271
165488,12244
165493,370
165495,12245
165497,409
165506,99
165509,556
165522,752
165526,5354
165530,383
165534,78
165536,741
165539,254
165549,2557
165555,315
165571,1548
165572,12246
165576,2291
165585,135
165587,10396
165597,111
165605,1532
165618,4779
165625,1487
165626,1720
165627,499
165632,403
165634,12247
165643,6740
165645,12248
165651,4718
165666,5774
165669,1846
165683,12249
165690,12250
165699,99
165705,254
165711,284
165713,1064
165716,85
165721,12251
165725,164
165729,12252
165730,3392
165734,358
165757,6199
165772,815
165780,12253
165782,12254
165785,5099
165787,12255
165792,5089
165794,4901
165807,815
165810,69
165811,1949
165822,1331
165833,12256
165834,263
165840,164
165840,2811
165841,39
165843,12257
165844,7273
165846,5288
165846,10251
165850,2365
165857,12258
165877,6361
165881,12259
165895,12260
165903,1556
165912,5436
